Date,B3SA3,BBDC4,ITUB4,PETR4,VALE3,^BVSP
2008-09-18,4.881346702575684,10.368440628051758,7.5569257736206055,16.163524627685547,20.569738388061523,48423.0
2008-09-19,5.658632755279541,11.137829780578613,8.197348594665527,17.55900001525879,22.27527618408203,53055.0
2008-09-22,5.378809452056885,10.808096885681152,7.813099384307861,17.518848419189453,21.655078887939453,51541.0
2008-09-23,5.192262649536133,10.698176383972168,7.685011863708496,16.690597534179688,20.068416595458984,49593.0
2008-09-24,5.285534381866455,10.767792701721191,7.633777618408203,17.313037872314453,20.414695739746094,49843.0
2008-09-25,5.590232849121094,11.10119342803955,7.941173076629639,18.096113204956055,21.127918243408203,51828.0
2008-09-26,5.658632755279541,11.064559936523438,7.912994384765625,17.78489112854004,19.897863388061523,50783.0
2008-09-29,4.514468669891357,10.441716194152832,7.444213390350342,16.439605712890625,17.468778610229492,46028.0
2008-09-30,5.285534381866455,11.33568000793457,8.171723365783691,17.619239807128906,18.890050888061523,49541.0
2008-10-01,5.652414321899414,11.321017265319824,8.171723365783691,17.518848419189453,18.80735969543457,49799.0
2008-10-02,5.223353385925293,10.554198265075684,7.685011863708496,16.088224411010742,16.822742462158203,46145.0
2008-10-03,4.508250713348389,10.022828102111816,7.139376163482666,15.561156272888184,16.920944213867188,44517.0
2008-10-06,4.41497802734375,9.363184928894043,6.801233768463135,15.059183120727539,15.634038925170898,42101.0
2008-10-07,4.371449947357178,9.308218002319336,6.583489894866943,14.205826759338379,14.99833869934082,40140.0
2008-10-08,4.632616996765137,9.271573066711426,6.404173851013184,13.40267276763916,14.988003730773926,38594.0
2008-10-09,4.881346702575684,8.608268737792969,6.083969593048096,12.991053581237793,14.440166473388672,37080.0
2008-10-10,4.601526260375977,8.098882675170898,5.86366605758667,12.047346115112305,14.626220703125,35610.0
2008-10-13,5.378809452056885,9.890898704528809,7.234158992767334,13.503069877624512,16.538488388061523,40829.0
2008-10-14,5.098987102508545,10.400280952453613,7.508253574371338,13.703852653503418,16.274904251098633,41569.0
2008-10-15,4.290610313415527,9.56474494934082,6.6833977699279785,12.047346115112305,13.25146198272705,36833.0
2008-10-16,4.16624641418457,9.198277473449707,6.2760910987854,11.143796920776367,12.92069149017334,36442.0
2008-10-17,4.0418806076049805,8.758516311645508,5.907212257385254,11.540351867675781,13.096623420715332,36399.0
2008-10-20,4.104062080383301,9.436483383178711,6.329890727996826,12.745091438293457,14.837640762329102,39441.0
2008-10-21,3.8615498542785645,9.308218002319336,6.224858283996582,12.549320220947266,14.988357543945312,39043.0
2008-10-22,3.4200520515441895,8.238142013549805,5.469167232513428,11.645769119262695,14.136038780212402,35070.0
2008-10-23,3.022083044052124,7.915652751922607,5.018311023712158,11.394784927368164,13.330489158630371,33818.0
2008-10-24,2.798225164413452,7.332967758178711,4.482922554016113,10.240242004394531,12.6756591796875,31482.0
2008-10-27,2.493530035018921,7.014143466949463,4.482922554016113,9.090726852416992,11.485530853271484,29435.0
2008-10-28,2.8293163776397705,7.9852800369262695,4.87998104095459,10.064552307128906,13.075839042663574,33387.0
2008-10-29,3.264596462249756,8.447025299072266,5.522963523864746,10.742216110229492,13.481205940246582,34845.0
2008-10-30,3.7807137966156006,9.484123229980469,6.107024192810059,11.47007942199707,14.442667007446289,37449.0
2008-10-31,3.6003830432891846,9.194612503051758,5.968693256378174,11.700984001159668,14.754488945007324,37257.0
2008-11-03,3.681220293045044,9.601387977600098,6.939564228057861,11.615646362304688,15.071510314941406,38249.0
2008-11-04,4.1973371505737305,9.901076316833496,7.275141716003418,12.59951400756836,16.131711959838867,40255.0
2008-11-05,3.7060937881469727,9.153268814086914,6.637289524078369,12.172840118408203,14.759686470031738,37786.0
2008-11-06,3.407616376876831,8.67306137084961,6.227419853210449,11.495173454284668,14.291946411132812,36362.0
2008-11-07,3.519544839859009,8.65839672088623,6.455411911010742,11.675884246826172,13.85019588470459,36665.0
2008-11-10,3.351651906967163,8.757369041442871,6.66034460067749,12.022250175476074,14.499833106994629,36776.0
2008-11-11,3.531982421875,8.6510648727417,6.5963006019592285,12.002163887023926,14.681733131408691,37262.0
2008-11-12,3.2335031032562256,7.9729084968566895,6.137760162353516,10.350676536560059,13.725470542907715,34374.0
2008-11-13,3.3454337120056152,8.7060546875,6.701333522796631,10.591622352600098,14.182811737060547,35993.0
2008-11-14,3.1588845252990723,8.779362678527832,6.611669540405273,10.420951843261719,14.058079719543457,35789.0
2008-11-17,3.0904836654663086,8.7060546875,6.6014204025268555,10.265339851379395,13.876181602478027,35717.0
2008-11-18,2.8541903495788574,8.064553260803223,6.096774101257324,9.66297721862793,13.278521537780762,34095.0
2008-11-19,2.7049505710601807,7.866603374481201,5.779125690460205,9.286495208740234,12.992683410644531,33405.0
2008-11-21,2.493530035018921,7.1078009605407715,5.318030834197998,8.478318214416504,11.849323272705078,31251.0
2008-11-24,2.6987316608428955,8.00955867767334,6.0455403327941895,9.652934074401855,13.569558143615723,34189.0
2008-11-25,2.7733519077301025,8.185526847839355,6.324763298034668,9.718191146850586,13.933355331420898,34813.0
2008-11-26,2.9847733974456787,8.6510648727417,6.788427829742432,10.300479888916016,14.338724136352539,36470.0
2008-11-27,3.034519910812378,8.797689437866211,6.757685661315918,10.014355659484863,14.058079719543457,36213.0
2008-11-28,3.202413558959961,9.028631210327148,6.824288845062256,10.069575309753418,14.307541847229004,36596.0
2008-12-01,2.9225902557373047,8.603410720825195,6.60654878616333,9.236299514770508,13.252535820007324,34741.0
2008-12-02,2.847970724105835,8.87018871307373,6.773058891296387,9.1860990524292,12.758813858032227,35001.0
2008-12-03,2.686296224594116,8.94351863861084,6.839661121368408,9.693093299865723,12.925124168395996,35297.0
2008-12-04,2.7795701026916504,8.793182373046875,6.898580551147461,9.336692810058594,12.519750595092773,35128.0
2008-12-05,2.9474642276763916,8.910520553588867,6.967741966247559,9.115826606750488,12.239107131958008,35347.0
2008-12-08,3.388960123062134,9.376228332519531,7.66195821762085,10.14487075805664,13.77224063873291,38285.0
2008-12-09,3.5755107402801514,9.394790649414062,7.595353603363037,10.094672203063965,13.964533805847168,37968.0
2008-12-10,3.699875593185425,9.428208351135254,7.608160972595215,11.01327896118164,14.920799255371094,39004.0
2008-12-11,3.730966806411743,9.060591697692871,7.3852949142456055,11.209053039550781,14.608970642089844,38519.0
2008-12-12,3.699875593185425,9.41335678100586,7.685011863708496,11.344586372375488,14.660943031311035,39374.0
2008-12-15,3.4324891567230225,9.042022705078125,7.172675132751465,11.495173454284668,14.754488945007324,38320.0
2008-12-16,3.6439101696014404,9.61758804321289,7.633777618408203,11.94694995880127,15.539249420166016,39993.0
2008-12-17,3.7931482791900635,9.688146591186523,7.813099384307861,12.223033905029297,15.747129440307617,39947.0
2008-12-18,4.010788440704346,9.543325424194336,7.65939474105835,11.796360969543457,14.972766876220703,39536.0
2008-12-19,3.992133140563965,9.11628532409668,7.377613067626953,11.721063613891602,14.910405158996582,39131.0
2008-12-22,3.668783187866211,8.782092094421387,7.034346580505371,11.113675117492676,13.96972942352295,37619.0
2008-12-23,3.4573628902435303,8.43674373626709,6.662907600402832,11.043400764465332,13.439629554748535,36471.0
2008-12-26,3.637692451477051,8.43674373626709,6.634725570678711,11.444977760314941,14.084065437316895,36864.0
2008-12-29,3.8242406845092773,,6.634725570678711,11.325584411621094,14.05288314819336,37060.0
2008-12-30,3.743403673171997,,6.685956954956055,11.486518859863281,14.39069652557373,37550.0
2009-01-02,4.02623987197876,,7.398102283477783,12.341468811035156,15.85107421875,40244.0
2009-01-05,4.357079029083252,8.439538955688477,7.416037082672119,12.623102188110352,16.713787078857422,41519.0
2009-01-06,4.444470405578613,8.439538955688477,7.720874309539795,12.799118995666504,17.176321029663086,42312.0
2009-01-07,4.213506698608398,,7.277705192565918,12.296205520629883,16.11092185974121,40820.0
2009-01-08,4.232234001159668,,7.321256637573242,12.824267387390137,16.8281192779541,41991.0
